<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
Сбербанк	M	вторник, 1 декабря 2015 г.	0	101,26	1 880 909 280,00 _
Сбербанк	M	пятница, 1 января 2016 г.	0	96,50	2 060 145 470,00 _
Сбербанк	M	понедельник, 1 февраля 2016 г.	0	107,00	2 184 006 710,00 _
Сбербанк	M	вторник, 1 марта 2016 г.	0	109,90	1 959 737 430,00 _
Сбербанк	M	пятница, 1 апреля 2016 г.	0	123,55	2 125 196 160,00 _
Сбербанк	M	воскресенье, 1 мая 2016 г.	0	132,56	1 387 771 330,00 _
Сбербанк	M	среда, 1 июня 2016 г.	0	133,00	1 550 840 130,00 _
Сбербанк	M	пятница, 1 июля 2016 г.	0	139,15	1 224 653 180,00 _
Сбербанк	M	понедельник, 1 августа 2016 г.	0	143,50	1 150 874 110,00 _
Сбербанк	M	четверг, 1 сентября 2016 г.	0	145,34	1 118 608 200,00 _
Сбербанк	M	суббота, 1 октября 2016 г.	0	147,40	777 345 030,00 _
Сбербанк	M	вторник, 1 ноября 2016 г.	0	158,70	1 113 951 960,00 _
Сбербанк	M	четверг, 1 декабря 2016 г.	0	173,25	1 204 467 020,00 _
Сбербанк	M	воскресенье, 1 января 2017 г.	0	172,20	989 614 480,00 _
Сбербанк	M	среда, 1 февраля 2017 г.	0	156,00	817 013 500,00 _
Сбербанк	M	среда, 1 марта 2017 г.	0	159,80	980 688 220,00 _
Сбербанк	M	суббота, 1 апреля 2017 г.	0	165,20	965 518 550,00 _
Сбербанк	M	понедельник, 1 мая 2017 г.	0	155,93	825 457 660,00 _
Сбербанк	M	четверг, 1 июня 2017 г.	0	145,59	1 249 106 940,00 _
Сбербанк	M	суббота, 1 июля 2017 г.	0	164,53	1 056 892 340,00 _
Сбербанк	M	вторник, 1 августа 2017 г.	0	183,51	1 066 034 430,00 _
Сбербанк	M	пятница, 1 сентября 2017 г.	0	192,33	943 835 730,00 _
Сбербанк	M	воскресенье, 1 октября 2017 г.	0	193,80	745 570 010,00 _
Сбербанк	M	среда, 1 ноября 2017 г.	0	224,35	1 254 395 580,00 _
Сбербанк	M	пятница, 1 декабря 2017 г.	0	225,20	683 304 570,00 _
Сбербанк	M	понедельник, 1 января 2018 г.	0	264,50	840 068 720,00 _
Сбербанк	M	четверг, 1 февраля 2018 г.	0	272,40	1 032 064 390,00 _
Сбербанк	M	четверг, 1 марта 2018 г.	0	253,57	993 704 870,00 _
Сбербанк	M	воскресенье, 1 апреля 2018 г.	0	226,99	2 377 768 000,00 _
Сбербанк	M	вторник, 1 мая 2018 г.	0	222,36	1 043 698 830,00 _
Сбербанк	M	пятница, 1 июня 2018 г.	0	218,00	1 083 180 080,00 _
Сбербанк	M	воскресенье, 1 июля 2018 г.	0	214,86	1 232 290 050,00 _
Сбербанк	M	среда, 1 августа 2018 г.	0	182,00	1 774 159 080,00 _
Сбербанк	M	суббота, 1 сентября 2018 г.	0	203,32	1 723 030 800,00 _
Сбербанк	M	понедельник, 1 октября 2018 г.	0	189,80	1 809 539 820,00 _
Сбербанк	M	четверг, 1 ноября 2018 г.	0	194,00	1 567 568 800,00 _
Сбербанк	M	суббота, 1 декабря 2018 г.	0	186,30	1 147 560 770,00 _
Сбербанк	M	вторник, 1 января 2019 г.	0	217,90	1 181 569 160,00 _
Сбербанк	M	пятница, 1 февраля 2019 г.	0	207,80	1 316 335 610,00 _
Сбербанк	M	пятница, 1 марта 2019 г.	0	214,42	1 071 950 350,00 _
Сбербанк	M	понедельник, 1 апреля 2019 г.	0	225,17	1 567 685 270,00 _
Сбербанк	M	среда, 1 мая 2019 г.	0	233,24	1 029 175 370,00 _
Сбербанк	M	суббота, 1 июня 2019 г.	0	238,55	1 023 004 980,00 _
Сбербанк	M	понедельник, 1 июля 2019 г.	0	233,49	780 046 580,00 _
Сбербанк	M	четверг, 1 августа 2019 г.	0	224,20	1 024 861 980,00 _
Сбербанк	M	воскресенье, 1 сентября 2019 г.	0	227,71	796 864 790,00 _
Сбербанк	M	вторник, 1 октября 2019 г.	0	234,89	894 393 040,00 _
Сбербанк	M	пятница, 1 ноября 2019 г.	0	233,98	643 074 600,00 _
Сбербанк	M	воскресенье, 1 декабря 2019 г.	0	254,75	666 344 120,00 _
Сбербанк	M	среда, 1 января 2020 г.	0	252,20	747 137 520,00 _
Сбербанк	M	суббота, 1 февраля 2020 г.	0	233,36	919 822 790,00 _
Сбербанк	M	воскресенье, 1 марта 2020 г.	0	187,21	3 001 736 660,00 _
Сбербанк	M	среда, 1 апреля 2020 г.	0	197,25	1 768 222 700,00 _
Сбербанк	M	пятница, 1 мая 2020 г.	0	200,50	1 359 045 230,00 _
Сбербанк	M	понедельник, 1 июня 2020 г.	0	203,22	1 522 268 370,00 _
Сбербанк	M	среда, 1 июля 2020 г.	0	221,57	1 088 082 960,00 _
Сбербанк	M	суббота, 1 августа 2020 г.	0	226,30	1 262 463 920,00 _
